(drops-out(john-torch , mayoral-race , , , ))
(print( , steamy-photos(john-torch female-companion) , starbucks , , ))
(voted-against(john-torch , liqour-license , , , ))
(requested(pete-sartin , resignation , , john-torch , ))
(refused(john-torch , resignation , , , ))
(runs-for(john-torch , alderwood-mayor , , , ))
(were-taken( , steamy-photos(john-torch brunette-woman) , starbucks , , ))
(raised(john-torch , 30000 , , , ))
(decreased(john-torch , effort , , , after-starbucks-scandal))
(opposed(john-torch , gambling , , , ))

(cured-disease(boynton-labs , prion-disease , , , ))
(founded( , boynton-labs , , , ))
(have-developed(boynton-labs , prion-disease , , , ))
(announced-investigation(usfda , boynton-labs , , , ))
(discontinued-investigation(usfda , boynton-labs , , , ))
(injected-mouse(boynton-labs , prion-disease , , , ))
(injected-cow(boynton-labs , prion-disease , , , ))
(treatment-mouse(boynton-labs , prion-disease , , , ))
(treatment-cow(boynton-labs , prion-disease , , , ))
(worked-with(philip-boynton , rex-luthor , , , ))
(invested(washington-state , 250000 , , boynton-labs , ))
(working-on( washingtion-state-legislature , additional-funding 300000 , , boynton-labs , ))
(invested(philip-boynton , 25000 , , boynton-labs , ))
(broke-ground(governor-gary-locke , boynton-labs , , philip-boynton , ))
(started( two-key-scientists , boynton-labs , , , ))
(approved( agriculture-department , rapid-testing-boynton-labs , , , ))
(chose(us-government , boynton-labs test-for-mad-cow-disease , , , ))

(worked-with(philip-boynton , rex-luthor , , , ))
(signed-contract(rex-luthor , voting-machines , , , ))
(received(rex-luthor , 50000-contribution , , republican-boosters , ))
(asked-to-investigate(rex-luthor , voting-machines , , , ))
(pledged-answer(rex-luthor , voting-machines , , , ))

(go-to(robert-e-ford , store , , , ))
(give(robert-e-ford , fake-check , , clerk , ))
(give(robert-e-ford , fake-id , , clerk , ))
(get-caught(robert-e-ford , , , , ))
(suspect(clerk , fraud , , , ))
(call(clerk , police , , , ))
(run-away(robert-e-ford , , , , ))
(chase-down(police-officers , robert-e-ford , , , ))
(get-away(robert-e-ford , , , accomplice , ))

(entered-car(employee , , , , ))
(snatch(man , purse , , , ))
(came-from(man , , behind-bushes , , ))
(opened(man , car-door , , , ))
(yelled(employee , , , , ))
(pulled-from(man , employee , car , , ))
(attempted-snatch(man , purse , , , ))
(hit(man , head , , employee , ))
(knocked-down(man , employee , , , ))
(ran-away-without(man , purse , , , ))

(parked(robbers , car , , , ))
(walked-toward(robbers , market , , , ))
(got-scared(robbers , , , , ))
(grabbed(dog , robber pants , , , ))
(run-away(robbers , , , , ))

(faked(von-ryker , prion-diseases-papers , , , ))
(remains(von-ryker , director-von-ryker-institute , , , ))
(investigating(von-ryker , breach-bioethics-laws , , , ))
(investigating(swiss-research-board , misuse-state-funds , , von-ryker , ))
(was-alerted(swiss-research-board , anonymous-tip , , von-ryker-institute , ))
(not-expected( shut-down(von-ryker-institute) , , , , ))
(continuing(swiss-research-board , investigation , , von-ryker-institute , ))
(reported(von-ryker , papers , , swiss-research-board , ))
(investigating(swiss-research-board , misuse-state-funds , , von-ryker , ))
(was-alerted(swiss-research-board , anonymous-tip , , von-ryker-institute , ))
(researches(swiss-research-board , transmissible-spongiform-encephalopathies , , , ))
(continuing(swiss-research-board , investigation , , von-ryker-institute , ))

(voted-against(john-torch , liqour-license , , , ))
(signed-contract(rex-luthor , voting-machines , , , ))
(installed( , voting-machines , , , ))
(had-problems(voters , voting-machines , , , ))
(asked-to-investigate(rex-luthor , voting-machines , , , ))
(pledged-answer(rex-luthor , voting-machines , , , ))


